plaintext_byte,total_time_ns
0,4243542
1,3664333
2,3676375
3,3305042
4,3015792
5,3016250
6,3018959
7,2739791
8,2578708
9,2584959
10,2583375
11,2312875
12,2238958
13,2241791
14,2250458
15,2144083
16,2017500
17,1978625
18,1981334
19,1976167
20,1899458
21,1772250
22,1772500
23,1771542
24,1776333
25,1629417
26,1623042
27,1620500
28,1622208
29,1611875
30,1496292
31,1495500
32,1494625
33,1494916
34,1492459
35,1422208
36,1398375
37,1399625
38,1408000
39,1397125
40,1397000
41,1399792
42,1325500
43,1298000
44,1300542
45,1293667
46,1294750
47,1293666
48,1295291
49,1293916
50,1298334
51,1272333
52,1256208
53,1250875
54,1249375
55,1257125
56,1233208
57,1233459
58,1235708
59,1234083
60,1272959
61,1229958
62,1232667
63,1294375
64,1206666
65,1270375
66,1241875
67,1209542
68,1225375
69,1207750
70,1209167
71,1207042
72,1209000
73,1210709
74,1206375
75,1209084
76,1215500
77,1211584
78,1211458
79,1209541
80,1207625
81,1210250
82,1208334
83,1210833
84,1213208
85,1208584
86,1243708
87,1208959
88,1208708
89,1207458
90,1209834
91,1212625
92,1207667
93,1211292
94,1210084
95,1206625
96,1209125
97,1205541
98,1209083
99,1209000
100,1234125
101,1245042
102,1208125
103,1211041
104,1210833
105,1209459
106,1212125
107,1258750
108,1226209
109,1213458
110,1207000
111,1212208
112,1210541
113,1207541
114,1238500
115,1207833
116,1210125
117,1212708
118,1207167
119,1209208
120,1208125
121,1241750
122,1211208
123,1208125
124,1210042
125,1209375
126,1212125
127,1276208
128,1209291
129,1206083
130,1210500
131,1206250
132,1210500
133,1216958
134,1290500
135,1210958
136,1208083
137,1210042
138,1211583
139,1207541
140,1275291
141,1209959
142,1213417
143,1209667
144,1205708
145,1209333
146,1209209
147,1268125
148,1209375
149,1205917
150,1211125
151,1210583
152,1206167
153,1246542
154,1229709
155,1238208
156,1211125
157,1206041
158,1211166
159,1205792
160,1282417
161,1219083
162,1213833
163,1211667
164,1210875
165,1207916
166,1251958
167,1276958
168,1225000
169,1207500
170,1208458
171,1212333
172,1234709
173,1208042
174,1213375
175,1220250
176,1206334
177,1208958
178,1207000
179,1241667
180,1242500
181,1225625
182,1223875
183,1218208
184,1206208
185,1237375
186,1268208
187,1210500
188,1219500
189,1208750
190,1208959
191,1233292
192,1255833
193,1240292
194,1224667
195,1209416
196,1225833
197,1220292
198,1217375
199,1268250
200,1209542
201,1220875
202,1220541
203,1218916
204,1210416
205,1246500
206,1231417
207,1226541
208,1210708
209,1242875
210,1205875
211,1212333
212,1265250
213,1217709
214,1217125
215,1213542
216,1230167
217,1210792
218,1239542
219,1217917
220,1220917
221,1248208
222,1209500
223,1228667
224,1210750
225,1245750
226,1224750
227,1220750
228,1207584
229,1208791
230,1257083
231,1226416
232,1218666
233,1222334
234,1209333
235,1208917
236,1205959
237,1210333
238,1265583
239,1217667
240,1226292
241,1206167
242,1209500
243,1224084
244,1224667
245,1266000
246,1223167
247,1211125
248,1213792
249,1205791
250,1238083
251,1279209
252,1212458
253,1224375
254,1212291
255,1208875
