input_byte,total_time_ns
0,3492958
1,3242709
2,2849959
3,2855750
4,1112875
5,1006583
6,1485292
7,2343750
8,2341500
9,2341750
10,2343958
11,2240125
12,2002166
13,2000458
14,2011459
15,2002833
16,1913625
17,1738875
18,1738917
19,1736250
20,1741083
21,1737041
22,1595166
23,1536542
24,1536500
25,1533792
26,1538750
27,1536458
28,1490625
29,1373667
30,1376375
31,1376375
32,1373750
33,1378500
34,1310750
35,1256250
36,1259083
37,1259000
38,1259000
39,1259083
40,1234042
41,1159166
42,1160167
43,1157458
44,1160125
45,1160167
46,1157458
47,1127500
48,1082250
49,1085250
50,1087000
51,1085042
52,1082292
53,1085041
54,1082375
55,1092000
56,1069708
57,1014583
58,1007500
59,1010417
60,1007083
61,1007042
62,1007042
63,1004084
64,1007375
65,1006792
66,1006750
67,1004042
68,1022208
69,978041
70,971792
71,975625
72,971791
73,1007167
74,972583
75,954208
76,957000
77,954250
78,957000
79,958583
80,957000
81,956958
82,957042
83,954209
84,953833
85,936375
86,939042
87,936333
88,936459
89,939083
90,941000
91,939625
92,936333
93,939084
94,936375
95,944833
96,936375
97,939041
98,953834
99,939125
100,936375
101,943750
102,936375
103,939083
104,936375
105,939084
106,936375
107,939041
108,936416
109,936334
110,939041
111,940959
112,939125
113,939125
114,939125
115,936333
116,939042
117,936375
118,939125
119,936375
120,939125
121,936333
122,943958
123,936375
124,939125
125,936375
126,936917
127,940167
128,936500
129,939125
130,936375
131,939084
132,936375
133,944208
134,936375
135,936500
136,936375
137,973417
138,936583
139,939166
140,936375
141,936708
142,936459
143,941875
144,943917
145,938292
146,939416
147,939125
148,936375
149,936500
150,939083
151,936375
152,936458
153,936375
154,941458
155,936375
156,939125
157,936375
158,939083
159,936416
160,939084
161,936375
162,936458
163,936292
164,939125
165,941292
166,939083
167,936333
168,936375
169,939125
170,936375
171,939084
172,936375
173,939125
174,936375
175,941417
176,936333
177,939125
178,936375
179,939083
180,936375
181,936500
182,939125
183,939125
184,936333
185,939125
186,941292
187,936333
188,939125
189,936375
190,969416
191,937416
192,939250
193,936333
194,939167
195,936334
196,941416
197,936334
198,939166
199,936333
200,939125
201,936375
202,940541
203,936500
204,939125
205,936333
206,939125
207,976791
208,939084
209,936375
210,936375
211,939125
212,936334
213,939125
214,936375
215,939125
216,936334
217,939125
218,941292
219,939125
220,939084
221,936542
222,936375
223,939125
224,936334
225,939125
226,936333
227,936459
228,941416
229,936334
230,939083
231,936375
232,939083
233,936375
234,939125
235,936375
236,939125
237,936333
238,939125
239,941333
240,939084
241,936375
242,939125
243,936375
244,939125
245,936375
246,936458
247,939125
248,936334
249,936541
250,941250
251,939125
252,936333
253,939167
254,936334
255,939125
