plaintext_byte,total_time_ns
0,163359167
1,154766042
2,142760750
3,129473083
4,124445250
5,122726125
6,133378958
7,140020250
8,136381583
9,149659792
10,155148000
11,138448625
12,150649791
13,154034542
14,134625666
15,146395584
16,154202083
17,138225625
18,152607042
19,161094875
20,147119542
21,137140417
22,149053708
23,143335958
24,152183834
25,154223042
26,140929917
27,150693000
28,134174792
29,150445500
30,162543041
31,137115375
32,148322208
33,153793042
34,151769584
35,155413917
36,128855625
37,150924125
38,160991417
39,136719583
40,158710750
41,146776375
42,155949625
43,139125542
44,155151292
45,139385583
46,156909042
47,135954250
48,159959542
49,133305667
50,152749041
51,151189334
52,150073958
53,151864083
54,129710625
55,132669250
56,149320542
57,128742958
58,155377958
59,144077959
60,151821375
61,131228917
62,150760208
63,133862667
64,147741500
65,160038125
66,133438000
67,149833458
68,157942167
69,133092291
70,146818500
71,150405333
72,131749583
73,151260834
74,127253833
75,149937375
76,135179458
77,151173417
78,137048708
79,151862667
80,159663375
81,134920333
82,152418125
83,131117541
84,151561750
85,162895750
86,135020250
87,151819375
88,146368584
89,153358375
90,162547792
91,134634834
92,151850417
93,165482083
94,136046083
95,146695750
96,162863125
97,136099833
98,149674917
99,132773792
100,152628750
101,134602709
102,144410458
103,130294000
104,147460084
105,140013708
106,150177292
107,161378625
108,135170459
109,155611458
110,159595750
111,137745875
112,152136875
113,157806625
114,136500541
115,152195791
116,161804500
117,135539667
118,151405833
119,158673750
120,133862042
121,150514458
122,143111750
123,151771333
124,158780667
125,136601583
126,154848042
127,146040375
128,150331375
129,151788583
130,132095166
131,151800417
132,156537834
133,154258083
134,164846542
135,136447250
136,151252708
137,162095750
138,149821000
139,160726125
140,133556959
141,153416292
142,159538833
143,136329500
144,150892000
145,159050750
146,137887583
147,154983084
148,160185250
149,135502500
150,153070375
151,149045417
152,148323750
153,146924208
154,149817250
155,160141917
156,137904542
157,151861292
158,158466000
159,136330834
160,149964750
161,159096917
162,133108292
163,149576083
164,164391542
165,140115792
166,150665125
167,163193625
168,133344833
169,149680208
170,161694334
171,137333208
172,148270833
173,150309375
174,150473625
175,159259666
176,133927333
177,148470584
178,156324041
179,146148833
180,161109792
181,135046209
182,144022500
183,133766709
184,151888000
185,138058125
186,149654041
187,158660166
188,137014291
189,154027459
190,155389958
191,136288125
192,147222542
193,160886042
194,133925333
195,146263666
196,158527750
197,138306458
198,151857875
199,151626041
200,148376958
201,135841875
202,136879875
203,150559791
204,164511625
205,134771292
206,150995875
207,130698792
208,149078834
209,147249791
210,150482708
211,162239500
212,133131916
213,150637833
214,163304625
215,135834917
216,146920750
217,134670709
218,146476917
219,160606833
220,135861125
221,151029583
222,162664250
223,135202708
224,148674208
225,157348667
226,136301375
227,151155208
228,157487250
229,132098250
230,154578459
231,163808375
232,130571625
233,152205042
234,160439500
235,147478000
236,129479458
237,151326375
238,133245000
239,149967125
240,162888333
241,139632625
242,153301208
243,157735667
244,135378292
245,135532625
246,157371708
247,167651709
248,136158250
249,158568250
250,164766875
251,145615708
252,160349417
253,134011417
254,156491667
255,162168833
