plaintext_byte,total_time_ns
0,158352792
1,148355459
2,132878625
3,152308792
4,133258458
5,153426167
6,127506542
7,128215375
8,138814209
9,148889166
10,185429541
11,135749625
12,146770958
13,147173708
14,134621000
15,154219708
16,136684750
17,154620250
18,161043458
19,138640250
20,153170292
21,165363333
22,133032500
23,147643500
24,158970917
25,136738583
26,147698416
27,161816875
28,139039000
29,151056709
30,160795791
31,134861125
32,147078375
33,138947542
34,151419375
35,148987333
36,147945209
37,160700167
38,134451625
39,149687709
40,162750833
41,137519041
42,150700375
43,129552292
44,151389459
45,160632917
46,136892416
47,147012167
48,160890292
49,129682625
50,152370709
51,162822291
52,130944584
53,150627291
54,162057125
55,145471417
56,130528750
57,147537250
58,164876125
59,135093417
60,151249916
61,156990250
62,139160708
63,157549208
64,129231958
65,148855875
66,146316000
67,159737458
68,134537917
69,154358167
70,159324625
71,136074500
72,151109708
73,164566833
74,135414833
75,149700084
76,159199958
77,136103542
78,142922750
79,150987833
80,154771167
81,152792208
82,164030375
83,139972958
84,155078875
85,138125209
86,148113375
87,160790208
88,134682916
89,147435583
90,163127250
91,134104959
92,153352375
93,163978125
94,136412375
95,149513667
96,161000458
97,136458958
98,149662500
99,160922292
100,138496250
101,125911750
102,148872041
103,151964875
104,153983334
105,163217000
106,149293000
107,131837292
108,135280042
109,153846583
110,162284500
111,137785292
112,150035958
113,158971792
114,135984083
115,153320708
116,134645166
117,154328042
118,131265708
119,149163584
120,132471000
121,150002208
122,162514208
123,138115917
124,151461375
125,160136334
126,133877833
127,153143959
128,159827625
129,137534458
130,146805584
131,126437833
132,153852500
133,162238292
134,137481250
135,146560500
136,139338083
137,153406167
138,160435875
139,142739125
140,150863667
141,162476083
142,136797500
143,151774125
144,161835542
145,133581833
146,153250042
147,161639458
148,133772959
149,148663042
150,157492125
151,135521917
152,146512417
153,134703000
154,153246208
155,158930667
156,137062792
157,154169083
158,150826084
159,147671916
160,151785750
161,143806333
162,162696167
163,134160250
164,154610417
165,163793750
166,136959208
167,153014208
168,158730708
169,137324000
170,148576875
171,134228583
172,153398459
173,155522541
174,132392833
175,151286917
176,134594541
177,149272500
178,135092750
179,128400167
180,123592209
181,139017583
182,144702625
183,162644083
184,135793875
185,148385708
186,159660250
187,136971083
188,148532625
189,158501334
190,132702416
191,151213333
192,160841667
193,137734250
194,150995208
195,154253958
196,136440709
197,151538000
198,144529667
199,151344791
200,135061542
201,150230417
202,151316208
203,153438958
204,165154167
205,137377334
206,152316666
207,167564291
208,134161458
209,149819584
210,137271500
211,149709500
212,157732208
213,137772375
214,151602709
215,133258916
216,150949417
217,133961292
218,146170042
219,164706083
220,137300834
221,154215125
222,154771417
223,154992708
224,153549667
225,149599750
226,163611042
227,135386000
228,147801000
229,155476708
230,136565334
231,154700750
232,157636833
233,136586417
234,148358292
235,162985958
236,137836875
237,151176125
238,140245541
239,149126708
240,143793583
241,153244417
242,160877917
243,133036500
244,150681458
245,137336416
246,154448292
247,153139375
248,147708834
249,164511333
250,134033042
251,142316041
252,158785625
253,138087416
254,151706834
255,158808375
